PL_Index,nu_syn,LP_Index,Pivot_Energy,Frac_Variability,Variability_Index,nuFnu_syn
1.6424301,27.631021,0.63935566,9.252535,0.0,2.3071303,-27.631021
2.3238826,29.750673,2.2117958,6.6021504,0.7921939,7.1229353,-27.32317
2.3381388,31.655552,2.2713463,6.2245765,0.9757529,7.5501447,-26.168879
2.6475708,29.334427,2.544655,6.6633635,0.7832288,3.2483342,-26.591307
2.0730808,33.191013,2.0360334,7.7178726,0.8084753,3.8079002,-27.02849
2.2448814,35.01143,2.2505727,7.6146455,0.37190628,3.0730407,-27.015265
1.9282087,27.631021,1.8665581,8.18641,0.8168754,4.025059,-27.631021
1.9657776,35.64435,1.7318703,7.9500394,0.35027233,2.7882268,-26.922125
2.2192736,32.794548,1.7765307,7.483221,0.0,1.1692423,-27.435791
2.5218308,29.005043,2.5003264,6.79128,0.43544108,3.2561276,-26.693794
1.735869,37.037163,1.6559085,8.855671,0.0,2.4500825,-26.315811
2.503881,28.39563,2.4355514,6.584275,0.35726246,4.078832,-26.916498
2.2211173,27.631021,2.211496,7.7988186,0.19826472,2.6819155,-27.631021
2.189968,32.246143,2.1562612,7.402593,0.2849192,3.254261,-26.87107
2.8163025,28.630884,2.8006902,6.1709385,0.38856354,3.3963807,-27.177149
2.5159135,30.283035,2.405446,6.3676043,1.0068399,5.541254,-27.012175
1.6012392,38.936726,1.2346166,8.750991,0.0,2.091424,-26.79361
2.419295,29.620207,2.2920566,6.9222603,1.1309234,5.37014,-25.645702
2.1218176,34.033867,2.0757086,7.5917373,0.39926395,3.0426176,-27.073248
2.3762786,29.132292,2.247102,6.333311,0.9494157,6.398741,-26.69024
2.348819,29.832155,2.293157,7.2632203,0.6423937,3.2546136,-27.13263
1.647127,38.936726,1.6031153,8.840858,0.69148606,3.8335195,-25.951767
2.8314273,27.968771,2.7878554,6.0249467,0.6011941,3.921372,-27.154503
2.4318051,30.542175,2.429733,7.0870633,0.33872047,2.7499008,-27.264257
2.109891,33.344738,2.0175457,8.021896,0.48737636,3.3761933,-27.415636
2.5315619,31.599047,2.5284743,6.768937,0.0,1.2351543,-27.024857
1.9658421,35.414177,1.9792285,8.360365,0.0,1.786375,-25.5451
2.3666947,29.541216,2.2563403,6.636148,0.0,2.0772731,-26.77812
2.4398303,29.209158,2.3361652,6.249434,0.44129235,4.629859,-27.358433
1.8426971,38.810085,1.8354377,8.179251,0.05376394,2.5874574,-25.60316
1.8503239,36.910534,1.7134162,8.00251,0.33613092,3.566455,-25.817093
1.8190295,35.39116,1.6700464,7.4816313,0.16610652,3.409289,-26.01988
2.329924,32.360195,2.135015,7.122416,0.30694684,3.4898882,-26.9496
2.2768795,31.250223,2.243191,7.2106457,0.8125007,3.760076,-27.118782
2.400832,30.11299,2.3227527,6.6520224,1.3221852,8.040773,-26.239862
2.4481943,28.712774,2.410669,7.1016216,0.39925003,3.2038782,-27.213436
2.135394,31.610342,2.0072126,7.55617,0.43329912,3.1958978,-27.127361
1.8851373,35.690384,1.7887453,8.472763,0.40037447,2.869007,-27.0661
2.5401652,30.11299,2.3967714,6.1172347,0.7078428,5.3105197,-26.415066
2.2820852,27.631021,2.1025236,7.3205376,0.6347341,3.4006076,-27.631021
1.9211258,35.264576,1.7257,7.7937155,0.0,2.2091336,-26.406893
